,"NSE_SYMBOL","TWS_SYMBOL","TABLE_NAME","COMPANY_NAME","YAHOO_NAME","SYMBOL","FACE_VALUE"
169,"POLARIS ","POL","POLARIS ","Polaris Software Lab Limited ","POLARIS.NS","POLARIS",5
170,"POWERGRID ","PWGR","POWERGRID ","Power Grid Corporation of India Limited ","POWERGRID.NS","POWERGRID",10
171,"PRAJIND ","PRJ","PRAJIND ","Praj Industries Limited ","PRAJIND.NS","PRAJIND",2
172,"PTC ","PTCIN","PTC ","PTC India Limited ","PTC.NS","PTC",10
173,"PUNJLLOYD ","PUNJ","PUNJLLOYD ","Punj Lloyd Limited ","PUNJLLOYD.NS","PUNJLLOYD",2
174,"RANBAXY ","RBXY","RANBAXY ","Ranbaxy Laboratories Limited ","RANBAXY.NS","RANBAXY",5
175,"RAYMOND ",,"RAYMOND ","RAYMOND LIMITED ","RAYMOND.NS","RAYMOND",10
176,"RCOM ","RCOM","RCOM ","Reliance Communications Limited ","RCOM.NS","RCOM",5
177,"RECLTD ","RECL","RECLTD ","Rural Electrification Corporation Limited ","RECLTD.NS","RECLTD",10
178,"RELCAPITAL ","RCAPT","RELCAPITAL ","Reliance Capital Limited ","RELCAPITA.NS","RELCAPITAL",10
179,"RELIANCE ","RIL","RELIANCE ","Reliance Industries Limited ","RELIANCE.NS","RELIANCE",10
180,"RELINFRA ","RELI","RELINFRA ","Reliance Infrastructure Limited ","RELINFRA.NS","RELINFRA",10
181,"RELMEDIA ","RMW","RELMEDIA ","Reliance MediaWorks Limited ","RELMEDIA.NS","RELMEDIA",5
182,"RENUKA ","SHRS","RENUKA ","Shree Renuka Sugars Limited ","RENUKA.NS","RENUKA",1
183,"ROLTA ","RLTA","ROLTA ","Rolta India Limited ","ROLTA.NS","ROLTA",10
184,"RPOWER ","RPWR","RPOWER ","Reliance Power Limited ","RPOWER.NS","RPOWER",10
185,"RUCHISOYA ","RSI","RUCHISOYA ","Ruchi Soya Industries Limited ","RUCHISOYA.NS","RUCHISOYA",2
186,"SAIL ","SAIL","SAIL ","Steel Authority of India Limited ","SAIL.NS","SAIL",10
187,"SBIN ","SBIN","SBIN ","State Bank of India ","SBIN.NS","SBIN",10
188,"SCI ","SCI","SCI ","Shipping Corporation Of India Limited ","SCI.NS","SCI",10
189,"SESAGOA ","SESA","SESAGOA ","Sesa Goa Limited ","SESAGOA.NS","SESAGOA",1
190,"SIEMENS ","SIEM","SIEMENS ","Siemens Limited ","SIEMENS.NS","SIEMENS",2
191,"SINTEX ","SINT","SINTEX ","Sintex Industries Limited ","SINTEX.NS","SINTEX",1
192,"SKUMARSYNF ","SKNL","SKUMARSYNF ","S. Kumars Nationwide Limited ","SKUMARSYN.NS","SKUMARSYNF",10
193,"SOBHA ","SOBHA","SOBHA ","Sobha Developers Limited ","SOBHA.NS","SOBHA",10
194,"SREINFRA ","SREI","SREINFRA ","SREI Infrastructure Finance Limited ","SREINFRA.NS","SREINFRA",10
195,"SRTRANSFIN ","SHTF","SRTRANSFIN ","Shriram Transport Finance Company Limited ","SRTRANSFI.NS","SRTRANSFIN",10
196,"STER ","STLT","STER ","Sterlite Industries ( India ) Limited ","STER.NS","STER",1
197,"STRTECH ","SLT","STRTECH ","Sterlite Technologies Limited ","STRTECH.NS","STRTECH",2
198,"SUNPHARMA ","SOTL","SUNPHARMA ","Sun Pharmaceuticals Industries Limited ","SUNPHARMA.NS","SUNPHARMA",1
199,"SUNTV ","SUNP","SUNTV ","Sun TV Network Limited ","SUNTV.NS","SUNTV",5
200,"SUZLON ","SUNTV","SUZLON ","Suzlon Energy Limited ","SUZLON.NS","SUZLON",2
201,"SYNDIBANK ","SUEL","SYNDIBANK ","Syndicate Bank ","SYNDIBANK.NS","SYNDIBANK",10
202,"TATACHEM ","SNDB","TATACHEM ","Tata Chemicals Limited ","TATACHEM.NS","TATACHEM",10
203,"TATACOMM ","TTCH","TATACOMM ","Tata Communications Limited ","TATACOMM.NS","TATACOMM",10
204,"TATAGLOBAL ","TCOM","TATAGLOBAL ","Tata Global Beverages Limited ","TATAGLOBA.NS","TATAGLOBAL",1
205,"TATAMOTORS ","TGBL","TATAMOTORS ","Tata Motors Limited ","TATAMOTOR.NS","TATAMOTORS",10
206,"TATAMTRDVR ","TTMT","TATAMTRDVR ","Tata Motors Limited ","TATAMTRDV.NS","TATAMTRDVR",10
207,"TATAPOWER ","TPWR","TATAPOWER ","Tata Power Company Limited ","TATAPOWER.NS","TATAPOWER",10
208,"TATASTEEL ","TATA","TATASTEEL ","Tata Steel Limited ","TATASTEEL.NS","TATASTEEL",10
209,"TCS ","TCS","TCS ","Tata Consultancy Services Limited ","TCS.NS","TCS",1
210,"TECHM ","TECHM","TECHM ","Tech Mahindra Limited ","TECHM.NS","TECHM",10
211,"TITAN ","TTAN","TITAN ","Titan Industries Limited ","TITAN.NS","TITAN",1
212,"TRIVENI ","TRE","TRIVENI ","Triveni Engineering & Industries Limited ","TRIVENI.NS","TRIVENI",1
213,"TTML ","TTLS","TTML ","Tata Teleservices (Maharashtra) Limited ","TTML.NS","TTML",10
214,"TULIP ","TTSL","TULIP ","Tulip Telecom Limited ","TULIP.NS","TULIP",2
215,"TV-18 ","TLEI","TV18 ","Television Eighteen India Limited ","TV-18.NS","TV-18",10
216,"TVSMOTOR ","TVSL","TVSMOTOR ","TVS Motor Company Limited ","TVSMOTOR.NS","TVSMOTOR",1
217,"UCOBANK ","UCO","UCOBANK ","UCO Bank ","UCOBANK.NS","UCOBANK",10
218,"ULTRACEMCO ","UTCEM","ULTRACEMCO ","UltraTech Cement Limited ","ULTRACEMC.NS","ULTRACEMCO",10
219,"UNIONBANK ","UNBK","UNIONBANK ","Union Bank of India ","UNIONBANK.NS","UNIONBANK",10
220,"UNIPHOS ","UNTP","UNIPHOS ","United Phosphorus Limited ","UNIPHOS.NS","UNIPHOS",2
221,"UNITECH ","UT","UNITECH ","Unitech Limited ","UNITECH.NS","UNITECH",2
222,"VIDEOIND ","VCLF","VIDEOIND ","Videocon Industries Limited ","VIDEOIND.NS","VIDEOIND",10
223,"VIJAYABANK ","VJYBK","VIJAYABANK ","Vijaya Bank ","VIJAYABAN.NS","VIJAYABANK",10
224,"VOLTAS ","VOLT","VOLTAS ","Voltas Limited ","VOLTAS.NS","VOLTAS",1
225,"WELCORP ","WLCO","WELCORP ","Welspun Corp Limited ","WELCORP.NS","WELCORP",5
226,"WIPRO ","WPRO","WIPRO ","Wipro Limited ","WIPRO.NS","WIPRO",2
227,"YESBANK ","YES","YESBANK ","Yes Bank Limited ","YESBANK.NS","YESBANK",10
228,"ZEEL","Z","ZEEL","Zee Entertainment Enterprises Limited ","ZEEL.NS","ZEEL",1
