"SYMBOL","EX_DATE","DIVIDEND"
"HINDOILEXP","2008-08-11","1"
"HINDOILEXP","2005-09-02","1"
"HINDOILEXP","2006-08-18","1"
"HINDPETRO","2009-08-13","5.25"
"HINDPETRO","2010-09-03","12"
"HINDPETRO","2005-09-02","10"
"HINDPETRO","2007-08-17","12"
"HINDPETRO","2008-09-02","3"
"HINDPETRO","2006-08-18","3"
"HINDPETRO","2006-12-27","6"
"HINDUNILVR","2006-04-28","2.5"
"HINDUNILVR","2008-03-17","3"
"HINDUNILVR","2007-04-20","3"
"HINDUNILVR","2010-11-01","3"
"HINDUNILVR","2007-11-07","3"
"HINDUNILVR","2010-07-08","3.5"
"HINDUNILVR","2008-08-04","3.5"
"HINDUNILVR","2009-06-12","4"
"HINDZINC","2010-07-22","6"
"HINDZINC","2001-07-02","0.25"
"HINDZINC","2008-08-12","0.5"
"HINDZINC","2007-09-12","0.5"
"HINDZINC","2007-02-08","0.5"
"HINDZINC","2007-11-08","0.5"
"HINDZINC","2009-07-29","0.8"
"HINDZINC","2002-08-19","0.1"
"HOTELEELA","2011-06-21","0.15"
"HOTELEELA","2010-08-04","0.2"
"HOTELEELA","2009-08-14","0.4"
"HOTELEELA","2006-05-12","0.3"
"HOTELEELA","2007-03-20","0.3"
"HOTELEELA","2008-08-07","0.5"
"HOTELEELA","2006-07-14","0.1"
"HOTELEELA","2007-08-03","0.15"
"IBREALEST","2008-08-27","13.5"
"ICICIBANK","2006-07-06","8.5"
"ICICIBANK","2009-06-11","11"
"ICICIBANK","2010-06-10","12"
"ICICIBANK","2011-06-02","14"
"ICICIBANK","2007-06-14","10"
"ICICIBANK","2008-07-10","11"
"ICICIBANK","2005-08-04","8.5"
"IDBI","2007-06-14","1.5"
"IDBI","2008-07-16","2"
"IDBI","2009-07-09","2.5"
"IDBI","2005-08-11","0.75"
"IDFC","2007-06-13","1"
"IDFC","2009-07-07","1.2"
"IDFC","2008-07-10","1.2"
"IDFC","2010-06-17","1.5"
"IDFC","2006-07-19","1"
"IFCI","2009-09-03","0.8"
"IFCI","2010-09-06","1"
"IGL","2009-07-20","4"
"IGL","2010-08-17","4.5"
"IGL","2005-09-02","2"
"IGL","2006-09-04","2.5"
"IGL","2007-09-04","3"
"IGL","2008-07-14","4"
"INDHOTEL","2009-07-17","1.2"
"INDHOTEL","2005-07-05","1"
"INDHOTEL","2006-07-14","1.3"
"INDHOTEL","2007-07-18","1.6"
"INDHOTEL","2008-04-22","1.9"
"INDIACEM","2009-07-31","2"
"INDIACEM","2007-09-14","1"
"INDIACEM","2008-08-14","2"
"INDIAINFO","2006-07-19","1"
"INDIAINFO","2009-08-17","1.2"
"INDIAINFO","2010-01-25","1.8"
"INDIAINFO","2009-01-29","2.8"
"INDIAINFO","2011-03-07","3"
"INDIAINFO","2008-06-26","6"
"INDIAINFO","2007-03-22","0.6"
"INDIANB","2010-03-04","2.5"
"INDIANB","2009-06-18","3"
"INDIANB","2011-05-30","7.5"
"INDIANB","2008-05-22","0.04"
"INDIANB","2009-03-09","2"
"INDIANB","2007-06-15","3"
"INDUSINDBK","2009-06-22","1.2"
"INDUSINDBK","2010-06-17","1.8"
"INDUSINDBK","2011-06-30","2"
"INDUSINDBK","2005-08-18","1.8"
"INDUSINDBK","2008-09-04","0.6"
"INDUSINDBK","2007-08-31","0.6"
"IOB","2010-05-26","3.5"
"IOB","2009-05-21","4.5"
"IOB","2005-05-12","1"
"IOB","2006-05-11","2.6"
"IOB","2007-05-07","3"
"IOB","2008-05-05","3.5"
"IOC","2009-09-02","7.5"
"IOC","2010-09-08","13"
"IOC","2005-09-08","10"
"IOC","2006-09-07","12.5"
"IOC","2007-09-10","13"
"IOC","2008-09-09","5.5"
"IOC","2006-12-26","6"
"IRB","2009-08-27","0.5"
"IRB","2010-09-21","1.5"
"IRB","2009-02-12","1"
"ITC","2006-07-10","2.65"
"ITC","2007-07-16","3.1"
"ITC","2008-07-16","3.5"
"ITC","2009-07-13","3.7"
"ITC","2011-06-10","4.45"
"ITC","2010-06-09","10"
"ITC","2005-07-18","31"
"IVRCLINFRA","2010-09-08","0.8"
"IVRCLINFRA","2007-08-31","1"
"IVRCLINFRA","2009-09-01","1.4"
"IVRCLINFRA","2005-09-22","0.6"
"IVRCLINFRA","2006-09-22","1"
"IVRCLINFRA","2008-09-09","1.4"
"JETAIRWAYS","2005-09-14","3"
"JETAIRWAYS","2006-09-07","6"
"JETAIRWAYS","2007-09-13","6"
"JINDALSAW","2010-09-09","1.25"
"JINDALSAW","2005-12-23","4"
"JINDALSAW","2009-06-15","5"
"JINDALSAW","2006-12-22","5"
"JINDALSAW","2008-03-19","6.25"
"JINDALSTEL","2010-09-13","1.25"
"JINDALSTEL","2009-09-14","5.5"
"JINDALSTEL","2007-02-05","1.2"
"JINDALSTEL","2005-07-07","2"
"JINDALSTEL","2006-09-14","2"
"JINDALSTEL","2007-09-06","2.4"
"JINDALSTEL","2008-09-12","2.5"
"JISLJALEQS","2006-09-14","1.8"
"JISLJALEQS","2007-09-13","2"
"JISLJALEQS","2009-09-10","2.5"
"JISLJALEQS","2010-09-16","4.5"
"JISLJALEQS","2008-09-11","0.44"
"JPASSOCIAT","2008-01-28","0.3"
"JPASSOCIAT","2011-02-08","0.4"
"JPASSOCIAT","2009-09-22","0.4"
"JPASSOCIAT","2010-09-15","0.54"
"JPASSOCIAT","2009-10-29","0.54"
"JPASSOCIAT","2005-09-14","0.6"
"JPASSOCIAT","2006-10-16","0.9"
"JPASSOCIAT","2007-08-23","1.6"
"JPASSOCIAT","2007-07-23","0.3"
"JPASSOCIAT","2008-10-29","0.3"
"JPASSOCIAT","2009-05-07","0.3"
"JPASSOCIAT","2008-08-18","0.4"
"JPPOWER","2009-08-10","0.75"
"JPPOWER","2007-09-11","0.75"
"JPPOWER","2008-07-31","0.75"
"JPPOWER","2005-08-31","0.75"
"JPPOWER","2008-10-29","0.75"
"JSWSTEEL","2009-06-29","1"
"JSWSTEEL","2010-06-14","9.5"
"JSWSTEEL","2007-03-20","12.5"
"JSWSTEEL","2008-05-21","14"
"JSWSTEEL","2005-04-29","5"
"JSWSTEEL","2006-06-15","8"
"KOTAKBANK","2009-07-14","0.75"
"KOTAKBANK","2010-06-30","0.85"
"KOTAKBANK","2005-07-15","0.625"
"KOTAKBANK","2006-07-07","0.3"
"KOTAKBANK","2007-06-22","0.35"
"KOTAKBANK","2008-07-14","0.375"
"KSOILS","2010-09-23","0.18"
"KSOILS","2009-09-24","0.18"
"KSOILS","2007-06-15","0.15"
"KSOILS","2008-09-12","0.18"
"KTKBANK","2010-07-15","4"
"KTKBANK","2009-07-23","6"
"KTKBANK","2005-07-07","2"
"KTKBANK","2006-06-29","3"
"KTKBANK","2007-06-22","3.5"
"KTKBANK","2008-07-03","5"
"LICHSGFIN","2009-06-29","13"
"LICHSGFIN","2008-06-13","2"
"LICHSGFIN","2007-06-28","0.6"
"LICHSGFIN","2005-07-26","1"
"LICHSGFIN","2007-03-26","1"
"LICHSGFIN","2006-07-19","1.2"
"LT","2007-08-14","2"
"LT","2007-07-17","2"
"LT","2009-08-18","10.5"
"LT","2010-08-17","12.5"
"LT","2008-08-20","15"
"LT","2005-08-12","17.5"
"LUPIN","2009-07-20","12.5"
"LUPIN","2010-07-19","13.5"
"LUPIN","2008-07-11","2"
"LUPIN","2007-07-10","1"
"LUPIN","2006-07-07","1.3"
"LUPIN","2005-07-15","1.3"
"M&M","2010-07-08","9.5"
"M&M","2009-07-09","10"
"M&M","2006-06-29","5"
"M&M","2008-07-03","5.75"
"M&M","2005-06-29","6.5"
"M&M","2007-07-05","2"
"M&M","2007-03-23","3.75"
"MARUTI","2009-08-18","3.5"
"MARUTI","2007-08-22","4.5"
"MARUTI","2010-08-24","6"
"MARUTI","2008-08-14","5"
"MCDOWELL-N","2009-09-22","2"
"MCDOWELL-N","2010-09-21","2.5"
"MCDOWELL-N","2007-11-20","1"
"MCDOWELL-N","2008-12-19","1.5"
"MCDOWELL-N","2007-03-22","1.5"
"MCDOWELL-N","2006-12-08","2"
"MCDOWELL-N","2005-09-13","2"
"MCLEODRUSS","2007-07-18","1"
