"SYMBOL","PURPOSE","VALUE","EX_DATE"
"BHARATFORG","SPL RS10 TO RS2 /DIV-125%","125.00%","2005-07-20"
"BHARATFORG","DIVIDEND-150%","150.00%","2006-07-20"
"BHARATFORG","DIVIDEND - 175%","175.00%","2008-07-31"
"BHARATFORG","DIVIDEND-175%","175.00%","2007-07-19"
"BHARTIARTL","ANNUAL GENERAL MEETING AND DIVIDEND RE.1/- PER SHARE","1","2010-08-18"
"BHARTIARTL","AGM/DIV-RS.2/FV RS10TORS5","5","2009-07-24"
"BHEL","AGM/DIV-RS.8/- PER SHARE","8","2009-09-01"
"BHEL","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.12.30 PER SHARE","12.3","2010-09-01"
"BHEL","INTERIM DIVIDEND RS.13.25 PER SHARE (PURPOSE REVISED)","13.25","2011-03-18"
"BHEL","INTERIM DIVIDEND-125%","125.00%","2007-02-13"
"BHEL","AGM/DIVIDEND-20%","20.00%","2006-09-01"
"BHEL","AGM/DIVIDEND-45%","45.00%","2005-09-06"
"BHEL","AGM/FINAL DIVIDEND-60%","60.00%","2007-08-30"
"BHEL","AGM/FINAL DIVIDEND- 62.5%","62.50%","2008-09-01"
"BHEL","INTERIM DIVIDEND - 90%","90.00%","2009-02-17"
"BHUSANSTL","AGM/DIV-RS.2.50 PER SHARE","2.5","2009-09-17"
"BHUSANSTL","ANNUAL GENERAL MEETING / DIVIDEND RS.2.50 PER SHARE AND FACE VALUE SPLIT FROM RS.10/- TO RS.2/-","2.5","2010-09-21"
"BHUSANSTL","AGM/DIVIDEND-15%","15.00%","2005-09-08"
"BHUSANSTL","AGM/DIVIDEND - 25%","25.00%","2008-09-17"
"BHUSANSTL","AGM/DIVIDEND-25%","25.00%","2007-09-11"
"BHUSANSTL","AGM/DIVIDEND-25%","25.00%","2006-09-14"
"BIOCON","INTERIM DIVIDEND-RS.1.50 PER SHARE (PURPOSE REVISED)","1.5","2011-05-05"
"BIOCON","AGM/FIN DIV-RS2.50 PER SH","2.5","2006-06-29"
