INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,CENTRALBK,26-May-2011,0,XX,120,123.5,119.65,121.55,121.55,435,624.48,3630312,-211680,20-MAY-2011,
FUTSTK,CENTRALBK,30-Jun-2011,0,XX,121.3,124.4,121.3,122.45,122.45,256,370.23,606816,192864,20-MAY-2011,
FUTSTK,CENTRALBK,28-Jul-2011,0,XX,123,124.4,123,124.4,123.5,4,9.86,14000,8000,20-MAY-2011,
FUTSTK,CENTURYTEX,26-May-2011,0,XX,309.25,317.35,307,308.85,308.85,1191,1861.9,2636500,-25500,20-MAY-2011,
FUTSTK,CENTURYTEX,30-Jun-2011,0,XX,312.3,319.4,309.1,310.8,310.8,330,518.68,471000,108500,20-MAY-2011,
FUTSTK,CENTURYTEX,28-Jul-2011,0,XX,312.9,314.75,312.9,314.75,313.15,3,9.41,11000,3000,20-MAY-2011,
FUTSTK,CESC,26-May-2011,0,XX,275,281.35,275,280.15,280.15,280,390.68,642000,-45500,20-MAY-2011,
FUTSTK,CESC,30-Jun-2011,0,XX,279.5,283,279.3,282.75,282.75,52,73.26,53000,4500,20-MAY-2011,
FUTSTK,CESC,28-Jul-2011,0,XX,282.5,284.6,282.45,283.3,284.35,11,31.16,13000,11000,20-MAY-2011,
FUTSTK,CHAMBLFERT,26-May-2011,0,XX,76.05,78.15,76.05,77.3,77.3,1020,3146.72,11052000,-552000,20-MAY-2011,
FUTSTK,CHAMBLFERT,30-Jun-2011,0,XX,76.7,78.55,76.7,77.8,77.8,290,899,1584000,616000,20-MAY-2011,
FUTSTK,CHAMBLFERT,28-Jul-2011,0,XX,78.05,78.2,78.05,78.2,78.55,2,6.25,48000,8000,20-MAY-2011,
FUTSTK,CHENNPETRO,26-May-2011,0,XX,220.6,224.8,219.15,223.65,223.65,192,426.1,518000,-22000,20-MAY-2011,
FUTSTK,CHENNPETRO,30-Jun-2011,0,XX,221.05,224.5,221.05,224.5,224.5,21,46.88,50000,17000,20-MAY-2011,
FUTSTK,CHENNPETRO,28-Jul-2011,0,XX,0,0,0,231.15,226.5,0,0,0,0,20-MAY-2011,
FUTSTK,CIPLA,26-May-2011,0,XX,307,316.2,305.3,314.95,314.95,1591,4974.99,3634000,-48000,20-MAY-2011,
FUTSTK,CIPLA,30-Jun-2011,0,XX,308.85,318.45,307.6,316.95,316.95,375,1184.53,480000,222000,20-MAY-2011,
FUTSTK,CIPLA,28-Jul-2011,0,XX,308.3,316.3,308.3,316.3,321.2,2,6.24,2000,0,20-MAY-2011,
FUTSTK,COLPAL,26-May-2011,0,XX,917,917,900,909.15,909.15,78,177.02,90000,0,20-MAY-2011,
FUTSTK,COLPAL,30-Jun-2011,0,XX,909,918.5,907.5,915.05,915.05,16,36.47,8250,-750,20-MAY-2011,
FUTSTK,COLPAL,28-Jul-2011,0,XX,0,0,0,916,922.25,0,0,0,0,20-MAY-2011,
FUTSTK,CONCOR,26-May-2011,0,XX,1085,1095,1070,1078.5,1076.95,381,1029.84,17250,500,20-MAY-2011,
FUTSTK,CONCOR,30-Jun-2011,0,XX,0,0,0,1230.85,1086.9,0,0,0,0,20-MAY-2011,
FUTSTK,COREPROTEC,26-May-2011,0,XX,294.5,294.95,293.3,293.95,293.95,573,1684.73,2236000,-305000,20-MAY-2011,
FUTSTK,COREPROTEC,30-Jun-2011,0,XX,283,284.25,282,281.85,281.85,554,1562.89,1721000,499000,20-MAY-2011,
FUTSTK,COREPROTEC,28-Jul-2011,0,XX,276.6,276.6,275,275,298.95,5,13.77,17000,5000,20-MAY-2011,
FUTSTK,CROMPGREAV,26-May-2011,0,XX,242.95,248.7,242.4,247.55,247.55,901,2213.69,1303000,-204000,20-MAY-2011,
FUTSTK,CROMPGREAV,30-Jun-2011,0,XX,244.3,250.15,243.6,249.65,249.65,74,183.43,92000,16000,20-MAY-2011,
FUTSTK,CROMPGREAV,28-Jul-2011,0,XX,0,0,0,287,252.5,0,0,0,0,20-MAY-2011,
FUTSTK,CUMMINSIND,26-May-2011,0,XX,712,720,700.05,708,708,163,577.76,158000,-15500,20-MAY-2011,
FUTSTK,CUMMINSIND,30-Jun-2011,0,XX,722.7,722.7,704,711.15,711.15,42,149.68,20500,7500,20-MAY-2011,
FUTSTK,CUMMINSIND,28-Jul-2011,0,XX,0,0,0,726.3,720.4,0,0,0,0,20-MAY-2011,
FUTSTK,DABUR,26-May-2011,0,XX,103.75,104.5,103.15,103.4,103.4,240,498.17,4410000,-100000,20-MAY-2011,
FUTSTK,DABUR,30-Jun-2011,0,XX,103.8,104.6,103.25,103.45,103.45,58,120.76,288000,62000,20-MAY-2011,
FUTSTK,DABUR,28-Jul-2011,0,XX,0,0,0,100.75,104.95,0,0,0,0,20-MAY-2011,
FUTSTK,DCB,26-May-2011,0,XX,54,56.4,53.1,55.9,55.9,1168,2580.16,7068000,-752000,20-MAY-2011,
FUTSTK,DCB,30-Jun-2011,0,XX,54.2,56.8,53.65,56.3,56.3,253,562.63,1008000,380000,20-MAY-2011,
FUTSTK,DCB,28-Jul-2011,0,XX,57.55,57.55,57.55,57.55,56.95,1,4.6,8000,8000,20-MAY-2011,
FUTSTK,DCHL,26-May-2011,0,XX,70.75,73.4,68.8,69.85,69.85,280,395.62,15884000,-218000,20-MAY-2011,
FUTSTK,DCHL,30-Jun-2011,0,XX,71.75,74,69,70.25,70.25,122,172.86,546000,198000,20-MAY-2011,
FUTSTK,DCHL,28-Jul-2011,0,XX,0,0,0,79.15,70.45,0,0,0,0,20-MAY-2011,
FUTSTK,DENABANK,26-May-2011,0,XX,88.5,90.95,88.5,89.8,89.8,1035,1864.52,6548000,-118000,20-MAY-2011,
FUTSTK,DENABANK,30-Jun-2011,0,XX,89.3,91.45,89.3,90.5,90.5,266,482.37,1502000,250000,20-MAY-2011,
FUTSTK,DENABANK,28-Jul-2011,0,XX,89.1,89.7,89,89.5,89.5,32,114.33,172000,124000,20-MAY-2011,
FUTSTK,DISHTV,26-May-2011,0,XX,67.1,69.25,66.85,69,69,811,2215.23,11440000,-672000,20-MAY-2011,
FUTSTK,DISHTV,30-Jun-2011,0,XX,68.25,69.6,68,69.4,69.4,281,773.5,1132000,952000,20-MAY-2011,
FUTSTK,DISHTV,28-Jul-2011,0,XX,0,0,0,69.7,70,0,0,4000,0,20-MAY-2011,
FUTSTK,DIVISLAB,26-May-2011,0,XX,717.65,742,706.5,731.1,731.1,5750,21007.21,1997500,345000,20-MAY-2011,
FUTSTK,DIVISLAB,30-Jun-2011,0,XX,721.75,744.35,712.2,733.1,733.1,635,2333.4,468500,141500,20-MAY-2011,
FUTSTK,DIVISLAB,28-Jul-2011,0,XX,0,0,0,727.5,740.55,0,0,0,0,20-MAY-2011,
FUTSTK,DLF,26-May-2011,0,XX,222,229.15,220.35,228.2,228.2,8893,20117.15,16766000,-1710000,20-MAY-2011,
FUTSTK,DLF,30-Jun-2011,0,XX,223.45,229.8,221.35,229.15,229.15,2349,5313.27,4118000,1146000,20-MAY-2011,
FUTSTK,DLF,28-Jul-2011,0,XX,226.7,230,225,229.9,229.9,7,15.96,19000,2000,20-MAY-2011,
FUTSTK,DRREDDY,26-May-2011,0,XX,1599,1619.85,1561.4,1603.6,1603.6,1041,4174.38,639000,-9000,20-MAY-2011,
FUTSTK,DRREDDY,30-Jun-2011,0,XX,1600,1628.7,1600,1612.35,1612.35,336,1355.53,222750,25000,20-MAY-2011,
FUTSTK,DRREDDY,28-Jul-2011,0,XX,0,0,0,1659.4,1629.8,0,0,1500,0,20-MAY-2011,
FUTSTK,EDUCOMP,26-May-2011,0,XX,422.2,423.9,413.25,417.45,417.45,1941,4061.75,2691000,-63000,20-MAY-2011,
FUTSTK,EDUCOMP,30-Jun-2011,0,XX,421.2,425.2,414.9,418.55,418.55,534,1120.78,370000,140500,20-MAY-2011,
FUTSTK,EDUCOMP,28-Jul-2011,0,XX,422.5,423,415,423,423.95,13,27.18,4000,1000,20-MAY-2011,
FUTSTK,EKC,26-May-2011,0,XX,81.1,82.4,80.9,82.1,82.1,229,374.23,3332000,-86000,20-MAY-2011,
FUTSTK,EKC,30-Jun-2011,0,XX,81.75,83.7,81.75,82.7,82.7,44,72.56,148000,64000,20-MAY-2011,
